Data taking started at   1664286811.9237 seconds (2022-09-27 09:53:31.923749)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
    0        20.9993   1664286832.9230  -0.0912   0.0032      1.2180      26.7008
    1        43.9825   1664286855.9062  -0.0872   0.0032      2.0320      27.7704
    2        45.4801   1664286857.4039  -0.1432   0.0032      3.5980      27.1928
    3        45.7401   1664286857.6639  -0.1360   0.0032      3.2960      26.8456
    4        54.3518   1664286866.2756  -0.0752   0.0032      3.4260      28.0448
    5        75.3159   1664286887.2396  -0.0744   0.0032      0.8240      26.8624
    6        92.4109   1664286904.3346  -0.1456   0.0032      4.7160      27.6080
    7        98.5833   1664286910.5070  -0.1600   0.0032      3.0480      28.2192
    8       100.4686   1664286912.3924  -0.1104   0.0032      1.4580      27.5512
    9       117.5890   1664286929.5127  -0.1016   0.0032      1.6300      27.4872
   10       139.5827   1664286951.5064  -0.1144   0.0032      3.1820      27.6832
   11       155.8762   1664286967.7999  -0.1600   0.0032      1.1940      28.2440
   12       197.3194   1664287009.2431  -0.1032   0.0032      0.8720      27.0232
   13       220.0762   1664287031.9999  -0.0448   0.0032      2.3920      27.8088
   14       239.0139   1664287050.9376  -0.0640   0.0032      1.4040      28.2328
   15       249.0090   1664287060.9327  -0.1600   0.0040      1.0940      28.1032
   16       265.1237   1664287077.0474  -0.1136   0.0032      1.0560      27.7544
   17       271.0706   1664287082.9943  -0.1312   0.0032      4.5540      27.7664
   18       278.6502   1664287090.5739  -0.1600   0.0032      4.0180      27.3000
   19       285.2213   1664287097.1451  -0.1600   0.0032      2.2440      27.9536
   20       311.2422   1664287123.1659  -0.1168   0.0032      1.0940      28.1296
   21       330.7749   1664287142.6987  -0.1384   0.0040      0.7040      28.5656
   22       336.5239   1664287148.4476  -0.1600   0.0072      0.6620      36.3752
   23       347.3311   1664287159.2549  -0.0808   0.0032      0.8400      28.8584
   24       353.4841   1664287165.4078  -0.1600   0.0040      0.6760      29.0416
   25       387.6100   1664287199.5338  -0.1112   0.0032      2.7400      28.5400
   26       407.1492   1664287219.0729  -0.0736   0.0032      5.9960      28.9536
   27       415.3285   1664287227.2522  -0.1504   0.0032      0.5140      27.5264
   28       417.0178   1664287228.9416  -0.0808   0.0032      3.3060      29.1352
   29       417.2677   1664287229.1914  -0.0888   0.0032      4.1720      28.7480
   30       499.4395   1664287311.3632  -0.1536   0.0032      1.0380      27.2160
   31       520.8072   1664287332.7309  -0.0648   0.0032      1.2520      28.9256
   32       529.0122   1664287340.9360  -0.0824   0.0032      0.5800      28.2872
   33       530.5019   1664287342.4256  -0.1600   0.0032      2.8720      27.3480
   34       580.0425   1664287391.9663  -0.1200   0.0032      1.6380      27.5568
   35       654.1050   1664287466.0287  -0.1240   0.0032      1.9140      28.3936
   36       666.1355   1664287478.0592  -0.0720   0.0032      1.8480      28.8648
   37       672.3129   1664287484.2367  -0.1560   0.0032      2.6180      27.5680
   38       685.3484   1664287497.2721  -0.1600   0.0032      2.9500      28.2384
   39       701.4407   1664287513.3644  -0.0728   0.0032      2.9900      28.5056
   40       713.2721   1664287525.1958  -0.1448   0.0032      2.7280      28.3904
   41       732.4073   1664287544.3310  -0.0376   0.0032      2.7800      29.5640
   42       749.5352   1664287561.4590  -0.1176   0.0032      5.3780      27.8120
   43       759.1375   1664287571.0613  -0.0664   0.0032      0.8000      28.2824
   44       795.5054   1664287607.4291  -0.1032   0.0032      0.8880      27.9824
   45       806.3305   1664287618.2542  -0.1144   0.0032      1.4940      27.3168
   46       812.6791   1664287624.6029  -0.1600   0.0032      6.9680      26.4152
   47       819.0269   1664287630.9507  -0.1600   0.0032      3.6820      26.9856
   48       865.9460   1664287677.8697  -0.1128   0.0032     11.1520      27.0952
   49       873.9299   1664287685.8536  -0.1328   0.0032      2.8840      27.5016
   50       898.3320   1664287710.2557  -0.0616   0.0032      1.2680      28.3808
   51       937.3273   1664287749.2511  -0.1280   0.0032      1.1500      27.1544
   52       964.9856   1664287776.9093  -0.1600   0.0032      5.2800      28.3472
   53       987.7681   1664287799.6918  -0.1032   0.0032      2.0300      28.1488
   54       993.1139   1664287805.0376  -0.1264   0.0032      2.9060      28.4784
   55       996.2569   1664287808.1807  -0.1320   0.0032      0.6760      27.0888
   56      1023.6925   1664287835.6163  -0.1600   0.0032      3.4140      27.8184
   57      1026.6248   1664287838.5485  -0.1600   0.0032      1.1620      27.1496
   58      1039.8847   1664287851.8085  -0.1056   0.0032      1.6580      27.5904
   59      1057.4044   1664287869.3281  -0.1600   0.0040      0.7400      27.2400
   60      1075.7441   1664287887.6679  -0.1544   0.0032      2.5300      27.5560
   61      1084.3400   1664287896.2637  -0.0752   0.0032      8.5920      28.5840
   62      1086.2257   1664287898.1494  -0.1184   0.0032      0.8480      28.0720
   63      1108.7873   1664287920.7111  -0.1016   0.0032      2.8760      28.5472
   64      1114.5306   1664287926.4544  -0.1600   0.0032      2.2200      28.1056
   65      1130.8266   1664287942.7504  -0.1456   0.0032      4.0060      27.9000
