Data taking started at   1664290927.6528 seconds (2022-09-27 11:02:07.652803)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
   84      1174.2370   1664292101.8898  -0.1600   0.0032      5.0000      27.5848
   85      1178.5756   1664292106.2284  -0.0864   0.0032      0.6080      28.4304
   86      1211.1143   1664292138.7671  -0.0928   0.0032      1.1300      28.6680
   87      1232.2624   1664292159.9153  -0.1600   0.0040      2.8300      27.8304
   88      1241.4544   1664292169.1072  -0.1144   0.0032      3.3300      27.6160
   89      1256.5287   1664292184.1815  -0.1552   0.0032      1.2460      26.6224
   90      1258.4194   1664292186.0722  -0.1416   0.0032      0.9880      27.3432
   91      1270.0394   1664292197.6922  -0.0792   0.0032      0.6440      28.1040
   92      1279.8573   1664292207.5101  -0.0864   0.0032      2.8080      28.3520
   93      1280.7372   1664292208.3900  -0.1160   0.0032      6.3000      28.1576
   94      1342.6535   1664292270.3063  -0.1264   0.0032      0.9840      28.2104
   95      1360.3725   1664292288.0253  -0.0912   0.0032      3.4660      26.8008
   96      1380.3101   1664292307.9629  -0.1600   0.0032      7.2680      27.8320
   97      1417.0578   1664292344.7106  -0.1016   0.0032      1.8320      28.1640
   98      1424.0195   1664292351.6723  -0.0712   0.0032      5.7420      27.9624
   99      1447.6087   1664292375.2615  -0.0440   0.0032      2.1420      28.3408
  100      1461.8777   1664292389.5305  -0.1600   0.0032      1.7200      28.0720
  101      1504.3211   1664292431.9739  -0.1600   0.0032      2.0540      26.9928
  102      1527.0966   1664292454.7494  -0.1448   0.0032      0.6460      27.5096
  103      1527.7961   1664292455.4489  -0.0576   0.0032      0.9140      28.5128
  104      1532.7389   1664292460.3917  -0.1480   0.0032      0.6520      28.2416
  105      1541.5292   1664292469.1820  -0.1600   0.0032      1.3700      28.4176
  106      1543.4296   1664292471.0824  -0.0824   0.0032      8.3780      28.1792
  107      1551.4102   1664292479.0630  -0.1600   0.0032      1.4220      27.8608
  108      1577.2358   1664292504.8886  -0.1552   0.0032      4.9460      26.8312
  109      1609.3520   1664292537.0048  -0.1600   0.0032      3.6580      26.9160
  110      1635.1480   1664292562.8008  -0.1600   0.0032      5.0460      27.7432
  111      1652.6500   1664292580.3028  -0.1600   0.0040      1.4480      26.6184
  112      1655.5535   1664292583.2063  -0.1600   0.0032      4.3560      27.7408
  113      1657.0548   1664292584.7076  -0.1600   0.0032     11.8680      26.7864
  114      1658.5377   1664292586.1905  -0.1088   0.0032      1.6360      27.2496
  115      1676.2591   1664292603.9119  -0.1456   0.0032      1.1220      27.5848
  116      1696.4169   1664292624.0697  -0.1600   0.0032      9.3820      27.3104
  117      1710.2837   1664292637.9366  -0.1600   0.0032      1.9080      26.7928
  118      1739.1550   1664292666.8078  -0.1040   0.0032      2.0560      28.3912
  119      1773.6839   1664292701.3367  -0.1600   0.0032      3.4480      27.3496
  120      1794.2368   1664292721.8896  -0.1424   0.0032      2.6940      27.8752
  121      1802.8496   1664292730.5024  -0.1600   0.0040      8.3200      29.3568
  122      1803.3159   1664292730.9687  -0.1600   0.0040      0.5400      27.7600
  123      1814.3317   1664292741.9845  -0.1600   0.0040      0.7240      26.9416
  124      1840.5862   1664292768.2390  -0.1600   0.0032      1.3720      27.3744
  125      1848.3703   1664292776.0231  -0.0728   0.0032      5.4160      28.6024
  126      1850.2561   1664292777.9089  -0.1416   0.0032      3.3820      28.1488
  127      1867.3542   1664292795.0070  -0.0960   0.0032      1.0920      27.6504
  128      1911.8297   1664292839.4825  -0.1600   0.0032      7.0580      27.5224
  129      1913.1189   1664292840.7717  -0.0960   0.0032      0.5460      28.2392
  130      1939.9493   1664292867.6021  -0.1392   0.0032      5.3800      27.9320
  131      1962.5287   1664292890.1815  -0.1600   0.0040      1.0580      28.2136
  132      1977.0093   1664292904.6621  -0.1600   0.0032      4.0120      25.6672
  133      1990.6699   1664292918.3227  -0.1144   0.0032      6.7340      27.8848
  134      1992.3890   1664292920.0418  -0.1152   0.0032      0.9500      27.4904
  135      2001.5738   1664292929.2266  -0.1120   0.0032      1.9260      27.4824
  136      2017.6633   1664292945.3161  -0.1064   0.0032      1.6160      27.0784
  137      2034.9855   1664292962.6384  -0.1184   0.0032      1.6300      27.4072
  138      2036.8951   1664292964.5479  -0.1600   0.0032      2.4460      27.4064
  139      2043.8723   1664292971.5251  -0.1600   0.0040      1.2460      27.1544
  140      2054.5042   1664292982.1570  -0.1456   0.0032      1.8560      27.9712
  141      2067.7454   1664292995.3982  -0.1024   0.0032      4.6840      28.1120
  142      2071.6738   1664292999.3266  -0.1448   0.0032      2.2900      27.7224
  143      2089.7782   1664293017.4310  -0.0536   0.0032      2.3520      27.4032
  144      2129.3942   1664293057.0470  -0.1600   0.0032      1.6580      26.6296
  145      2150.1385   1664293077.7913  -0.0624   0.0032      0.8800      27.9264
  146      2155.0707   1664293082.7235  -0.1552   0.0032      0.8560      27.1816
