Data taking started at   1664294842.0286 seconds (2022-09-27 12:07:22.028607)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
   83      1438.1609   1664296280.1895  -0.1536   0.0032      1.2580      27.4144
   84      1452.6323   1664296294.6609  -0.1600   0.0032      4.0400      28.5672
   85      1511.2964   1664296353.3250  -0.0392   0.0032      1.5080      28.5760
   86      1520.4923   1664296362.5209  -0.1576   0.0032      6.8900      27.5760
   87      1557.8688   1664296399.8974  -0.0792   0.0032      3.5660      27.5880
   88      1564.6197   1664296406.6483  -0.0976   0.0032      1.9700      26.8376
   89      1569.3602   1664296411.3888  -0.0512   0.0032      0.8260      28.7008
   90      1573.4884   1664296415.5170  -0.1512   0.0032      3.9160      27.5512
   91      1573.9287   1664296415.9573  -0.1560   0.0032      0.5780      27.5344
   92      1587.5769   1664296429.6055  -0.0736   0.0032      3.8480      28.7104
   93      1596.7726   1664296438.8013  -0.0488   0.0032      7.1900      28.5056
   94      1602.3213   1664296444.3499  -0.0744   0.0032      1.3120      27.4344
   95      1612.1140   1664296454.1426  -0.1600   0.0040      1.1100      28.1872
   96      1622.7360   1664296464.7646  -0.1288   0.0032      5.0680      27.6792
   97      1625.0349   1664296467.0635  -0.1600   0.0032      2.0000      27.8936
   98      1630.3923   1664296472.4209  -0.1232   0.0032      1.8520      28.2960
   99      1664.3295   1664296506.3582  -0.1600   0.0040      0.9600      27.7608
  100      1665.6195   1664296507.6481  -0.1232   0.0032      0.8200      27.8936
  101      1679.8707   1664296521.8993  -0.1560   0.0032      0.9600      27.2712
  102      1680.3407   1664296522.3693  -0.1600   0.0032      3.9840      27.3072
  103      1690.7614   1664296532.7900  -0.1240   0.0032      1.7380      27.8984
  104      1700.9742   1664296543.0028  -0.1424   0.0032      2.1300      27.5240
  105      1704.7292   1664296546.7578  -0.0920   0.0032      0.5120      28.0384
  106      1713.9217   1664296555.9503  -0.1432   0.0032     10.6040      27.3264
  107      1718.8801   1664296560.9087  -0.1368   0.0032      2.9460      27.2960
  108      1728.2923   1664296570.3209  -0.0736   0.0032      2.1060      28.8032
  109      1748.6367   1664296590.6653  -0.1240   0.0032      2.4020      27.4248
  110      1781.3642   1664296623.3928  -0.1352   0.0032      8.5520      26.9288
  111      1787.5027   1664296629.5313  -0.0912   0.0032      3.0180      27.7352
  112      1865.6232   1664296707.6518  -0.0920   0.0032      9.8620      27.4664
  113      1896.9379   1664296738.9665  -0.1168   0.0032      0.9520      27.8560
  114      1901.6769   1664296743.7055  -0.0856   0.0032      0.5100      28.4816
  115      1944.7390   1664296786.7676  -0.0992   0.0032      0.9780      28.5456
  116      1990.6180   1664296832.6466  -0.0600   0.0032      2.4320      28.9680
  117      1995.7563   1664296837.7849  -0.1040   0.0032      3.9880      28.6552
  118      2004.7623   1664296846.7909  -0.0864   0.0032      1.3880      28.1528
  119      2007.2614   1664296849.2900  -0.0800   0.0032      1.0840      28.4560
  120      2028.6465   1664296870.6751  -0.0864   0.0032      0.8780      28.2000
  121      2049.2030   1664296891.2316  -0.0856   0.0032      3.1800      28.7048
  122      2099.1594   1664296941.1881  -0.1600   0.0032      9.4340      27.9664
  123      2101.4783   1664296943.5069  -0.1152   0.0032      1.3320      27.9600
  124      2143.1009   1664296985.1295  -0.0464   0.0032      2.5320      28.3184
  125      2175.0244   1664297017.0530  -0.1600   0.0032      0.7040      28.5424
  126      2187.0756   1664297029.1042  -0.1128   0.0032      6.9680      28.0632
  127      2198.9043   1664297040.9329  -0.1600   0.0032      3.5500      27.8656
  128      2208.9260   1664297050.9547  -0.1600   0.0032      0.8200      27.4208
  129      2244.4730   1664297086.5016  -0.1072   0.0032      1.7380      28.1264
  130      2248.2056   1664297090.2342  -0.0600   0.0032      1.6420      28.6368
  131      2252.1339   1664297094.1625  -0.1600   0.0032      1.8500      28.3376
  132      2267.6164   1664297109.6450  -0.1448   0.0032      1.6600      27.8456
  133      2275.5894   1664297117.6180  -0.1216   0.0032      1.2660      27.6864
  134      2278.2902   1664297120.3188  -0.1600   0.0032      7.0740      28.0088
  135      2295.3879   1664297137.4166  -0.0880   0.0032      4.3580      28.5392
  136      2298.0967   1664297140.1253  -0.1600   0.0032      1.4100      27.8784
  137      2302.8344   1664297144.8630  -0.1600   0.0032      0.5360      27.9944
  138      2308.1681   1664297150.1967  -0.0688   0.0032      6.5100      27.7864
  139      2341.7029   1664297183.7315  -0.1600   0.0032      2.1020      27.7888
  140      2347.8501   1664297189.8787  -0.1408   0.0032      0.8120      28.1456
  141      2414.4253   1664297256.4539  -0.1072   0.0032      0.8800      28.1016
  142      2443.4948   1664297285.5234  -0.1576   0.0040      1.5380      28.4312
  143      2446.2339   1664297288.2625  -0.0624   0.0032      6.3440      29.1912
  144      2463.7541   1664297305.7827  -0.1600   0.0032      4.9780      28.5912
  145      2466.8728   1664297308.9014  -0.0856   0.0032      0.7300      28.9792
  146      2472.8209   1664297314.8495  -0.0992   0.0032      2.7880      28.3528
  147      2492.1503   1664297334.1789  -0.0832   0.0032      0.9240      28.2880
  148      2518.3844   1664297360.4130  -0.1304   0.0032      4.0680      27.9488
  149      2525.7582   1664297367.7868  -0.0736   0.0032      0.9260      28.9752
  150      2533.3589   1664297375.3875  -0.1504   0.0040      0.5320      28.4648
  151      2543.3607   1664297385.3893  -0.1240   0.0032      6.1740      28.2152
  152      2565.3336   1664297407.3622  -0.1056   0.0032      1.3160      28.7056
  153      2567.6267   1664297409.6553  -0.1488   0.0032      9.3620      27.8504
  154      2582.1148   1664297424.1434  -0.1600   0.0040      1.1580      27.2376
  155      2593.9442   1664297435.9728  -0.0504   0.0032      0.7700      29.1952
  156      2594.8339   1664297436.8625  -0.0696   0.0032      1.9220      28.9760
  157      2595.7232   1664297437.7518  -0.0704   0.0032     10.6840      28.7264
  158      2613.0186   1664297455.0472  -0.0720   0.0032      0.6000      28.0464
  159      2625.6528   1664297467.6814  -0.1600   0.0040      0.7040      27.1048
  160      2634.8445   1664297476.8731  -0.1584   0.0032      2.5100      28.3424
  161      2638.3498   1664297480.3785  -0.1600   0.0072      0.6680      35.8488
  162      2641.2644   1664297483.2930  -0.1600   0.0040      0.8960      28.4856
  163      2657.1402   1664297499.1688  -0.1600   0.0032      1.2520      28.2328
  164      2678.9060   1664297520.9346  -0.1600   0.0040      1.9360      28.3200
  165      2681.2149   1664297523.2435  -0.1448   0.0032      1.5700      28.1680
  166      2683.5106   1664297525.5392  -0.1200   0.0032      1.7160      27.7888
  167      2685.2001   1664297527.2288  -0.1600   0.0032      1.9640      28.4000
  168      2688.1096   1664297530.1382  -0.1240   0.0032      1.5900      28.3176
  169      2706.6340   1664297548.6627  -0.1600   0.0032      3.6020      27.6056
  170      2741.1726   1664297583.2012  -0.1496   0.0032      2.8820      26.9888
  171      2745.3010   1664297587.3296  -0.1600   0.0032      4.7900      27.8912
  172      2759.7837   1664297601.8123  -0.1472   0.0032      2.0580      28.0064
  173      2771.6148   1664297613.6435  -0.1064   0.0032      1.5920      27.9696
  174      2778.7921   1664297620.8207  -0.1600   0.0040      1.1380      28.0888
