Data taking started at   1663947061.0896 seconds (2022-09-23 11:31:01.089552)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
    0        15.5640   1663947076.6535  -0.0416   0.0032      4.9660      28.6888
    1        78.2768   1663947139.3663  -0.0408   0.0032      2.0020      28.3616
    2        80.5766   1663947141.6661  -0.1600   0.0032      1.0940      27.8024
    3        95.0325   1663947156.1221  -0.0888   0.0032      1.2140      28.8024
    4        95.7329   1663947156.8224  -0.1048   0.0032      1.6200      29.0464
    5       126.2215   1663947187.3110  -0.1600   0.0032      3.8060      29.4048
    6       136.6476   1663947197.7372  -0.1400   0.0032      1.4780      28.5064
    7       143.6117   1663947204.7013  -0.1600   0.0048      3.9040      30.4600
    8       155.6518   1663947216.7413  -0.0952   0.0032      8.2580      28.7904
    9       158.3532   1663947219.4427  -0.1600   0.0032      2.6580      28.0344
   10       184.7867   1663947245.8763  -0.1600   0.0032      1.9960      29.1536
   11       193.5745   1663947254.6640  -0.1600   0.0040      2.8020      28.2776
   12       201.1532   1663947262.2427  -0.1600   0.0032      4.3700      28.7336
   13       218.6692   1663947279.7587  -0.1504   0.0032      1.0760      28.5512
   14       227.2591   1663947288.3486  -0.1440   0.0032      3.2940      28.9184
   15       236.2483   1663947297.3379  -0.0600   0.0032      0.8380      29.2120
   16       249.1167   1663947310.2062  -0.0352   0.0032      0.5680      29.3792
   17       250.8062   1663947311.8957  -0.1600   0.0032      4.4720      27.8224
   18       253.9080   1663947314.9976  -0.1416   0.0032      2.5380      28.7016
   19       280.3480   1663947341.4375  -0.1600   0.0040      2.9360      29.1904
