Data taking started at   1664464259.7918 seconds (2022-09-29 11:10:59.791836)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
    0        38.6379   1664464298.4298  -0.0504   0.0032      0.6580      28.1016
    1        67.5091   1664464327.3010  -0.1600   0.0032      1.6340      26.8016
    2        78.7204   1664464338.5122  -0.0728   0.0032      0.5080      28.6456
    3        95.0141   1664464354.8059  -0.1200   0.0032      5.6580      27.7344
    4       125.0980   1664464384.8898  -0.1360   0.0032      2.0140      26.7224
    5       139.3657   1664464399.1576  -0.0888   0.0032      1.0320      28.2744
    6       162.9499   1664464422.7418  -0.1600   0.0080      0.6740      38.0888
    7       176.2094   1664464436.0012  -0.1600   0.0032      6.3040      27.7528
    8       199.4013   1664464459.1932  -0.1600   0.0032      5.3240      27.0472
    9       200.1011   1664464459.8930  -0.1312   0.0032      1.2180      27.6328
   10       214.5700   1664464474.3619  -0.1600   0.0032      0.8420      27.1680
   11       280.7261   1664464540.5179  -0.1600   0.0040      1.1420      28.7216
   12       297.6217   1664464557.4136  -0.1600   0.0032      2.8400      28.5232
   13       308.8474   1664464568.6393  -0.1600   0.0032      4.8700      27.4552
   14       316.0258   1664464575.8176  -0.1600   0.0080      0.6720      38.0072
   15       318.7408   1664464578.5326  -0.1600   0.0032      2.4020      27.6568
   16       332.6016   1664464592.3934  -0.0808   0.0032      1.4420      28.7568
   17       341.9948   1664464601.7866  -0.1536   0.0032      6.3560      27.1864
   18       359.5175   1664464619.3093  -0.1600   0.0040      0.6820      27.7184
   19       436.6255   1664464696.4173  -0.1600   0.0032      1.4500      27.5632
   20       449.8717   1664464709.6636  -0.0752   0.0032      8.1520      28.1096
   21       460.8863   1664464720.6782  -0.0272   0.0032      0.5080      28.8416
   22       469.0792   1664464728.8711  -0.1424   0.0032      2.2940      27.1256
   23       491.0490   1664464750.8409  -0.1600   0.0032      0.8520      27.7992
   24       520.3057   1664464780.0975  -0.1072   0.0032      2.0840      28.1776
   25       557.5021   1664464817.2939  -0.1600   0.0032      6.0840      27.9200
   26       600.9748   1664464860.7667  -0.1168   0.0032      0.6120      28.4056
   27       610.9670   1664464870.7588  -0.0560   0.0032      2.7200      29.0488
   28       611.4068   1664464871.1986  -0.1600   0.0040      1.4160      28.0920
   29       621.8349   1664464881.6267  -0.1600   0.0032      6.4720      27.6008
   30       638.3214   1664464898.1132  -0.0864   0.0032      8.8880      27.4936
   31       676.1050   1664464935.8969  -0.1344   0.0032      7.8140      28.2280
   32       682.4492   1664464942.2411  -0.1600   0.0032      1.5580      27.1008
   33       685.5645   1664464945.3563  -0.1168   0.0032      0.7220      27.3904
   34       762.0385   1664465021.8303  -0.1384   0.0032      0.8200      27.4240
   35       770.2320   1664465030.0239  -0.1032   0.0032      5.4640      27.7696
   36       771.7232   1664465031.5150  -0.1488   0.0032      1.9720      27.4248
   37       777.8926   1664465037.6844  -0.0440   0.0032      1.5580      28.8344
   38       781.4256   1664465041.2174  -0.1096   0.0032      0.5880      28.2048
   39       801.9619   1664465061.7537  -0.0760   0.0032      0.7040      28.9888
   40       804.2778   1664465064.0697  -0.1248   0.0032      9.6200      27.8408
   41       818.9748   1664465078.7667  -0.0728   0.0032      1.5040      28.9944
   42       854.9374   1664465114.7293  -0.1008   0.0032      6.0440      27.9456
   43       859.0759   1664465118.8677  -0.0880   0.0032      2.6820      28.1440
   44       885.0839   1664465144.8757  -0.1600   0.0040      2.0580      28.3280
   45       886.1761   1664465145.9680  -0.1520   0.0032      3.1780      28.0752
   46       897.1997   1664465156.9915  -0.1272   0.0032      7.2460      27.9744
   47       902.3641   1664465162.1560  -0.0912   0.0032      1.0520      28.2000
   48       904.2732   1664465164.0651  -0.0688   0.0032      1.1440      28.6664
   49       931.1064   1664465190.8982  -0.0976   0.0032      0.6180      28.7496
   50       960.1825   1664465219.9744  -0.1128   0.0032      3.7100      28.0624
   51       963.1016   1664465222.8935  -0.1304   0.0032      9.8100      28.0048
   52       964.5968   1664465224.3886  -0.1032   0.0032      0.7520      28.1448
   53       976.8316   1664465236.6234  -0.1600   0.0032      1.9940      27.6856
   54       985.0147   1664465244.8065  -0.1600   0.0032      1.6700      27.1568
   55       993.4043   1664465253.1962  -0.1168   0.0032      3.0580      28.1984
   56      1018.2040   1664465277.9959  -0.0760   0.0032      0.7400      28.3736
   57      1033.8832   1664465293.6750  -0.0672   0.0032      0.9080      28.3016
   58      1034.3236   1664465294.1154  -0.1600   0.0032      5.7460      26.4520
   59      1039.6680   1664465299.4598  -0.1240   0.0032      0.9300      27.6440
   60      1051.1034   1664465310.8952  -0.0920   0.0032      1.7760      28.8224
   61      1054.2189   1664465314.0108  -0.1344   0.0032      2.1640      27.3240
   62      1067.0589   1664465326.8507  -0.0416   0.0032      0.7800      28.9888
   63      1098.5530   1664465358.3449  -0.1096   0.0032      4.3780      27.3464
   64      1125.5889   1664465385.3807  -0.1600   0.0040      0.9140      28.3824
   65      1143.1097   1664465402.9016  -0.1600   0.0032      2.4120      28.7864
   66      1206.4353   1664465466.2272  -0.0656   0.0032      2.1760      28.3056
   67      1234.2771   1664465494.0690  -0.1600   0.0032      1.9500      26.4944
   68      1238.6153   1664465498.4072  -0.1600   0.0040      5.4360      28.7480
   69      1247.8179   1664465507.6097  -0.1096   0.0032      2.8620      28.1008
   70      1261.4675   1664465521.2593  -0.0856   0.0032      4.7600      28.4632
   71      1272.4936   1664465532.2855  -0.0800   0.0032     10.6880      27.8888
   72      1299.7367   1664465559.5286  -0.1536   0.0032      1.6120      27.3280
   73      1322.9117   1664465582.7035  -0.0904   0.0032      4.6460      28.5136
   74      1335.3551   1664465595.1469  -0.1440   0.0032      0.6300      28.2088
   75      1344.9561   1664465604.7480  -0.1048   0.0032      1.3820      27.9992
   76      1353.1563   1664465612.9481  -0.0664   0.0032      0.6740      28.2016
   77      1363.5800   1664465623.3719  -0.1224   0.0032      1.5340      28.0168
   78      1385.3533   1664465645.1451  -0.1600   0.0040      0.5520      28.0032
   79      1401.4422   1664465661.2341  -0.1600   0.0032      4.0480      27.3032
   80      1416.9227   1664465676.7146  -0.0816   0.0032      2.5980      28.1920
   81      1443.9574   1664465703.7493  -0.1600   0.0032      2.0780      28.4296
   82      1454.3825   1664465714.1743  -0.1600   0.0040      0.5220      27.5392
   83      1455.4663   1664465715.2582  -0.1600   0.0032      2.4680      28.6216
   84      1494.6823   1664465754.4742  -0.1192   0.0032      2.0340      27.1592
   85      1540.1871   1664465799.9789  -0.0480   0.0032      5.3840      28.8472
   86      1566.8185   1664465826.6104  -0.0864   0.0032      1.1120      27.8168
   87      1572.7769   1664465832.5687  -0.1320   0.0032      7.8180      27.7664
   88      1604.0892   1664465863.8810  -0.1552   0.0032      2.8320      28.2784
   89      1617.1355   1664465876.9273  -0.1600   0.0040      1.9340      27.8736
   90      1637.4777   1664465897.2696  -0.0760   0.0032      1.2200      28.6672
   91      1639.9917   1664465899.7836  -0.1384   0.0032      3.5340      28.2200
   92      1646.1443   1664465905.9362  -0.1504   0.0040      1.1760      26.9256
   93      1670.3298   1664465930.1216  -0.1600   0.0040      2.3620      28.6336
   94      1680.3518   1664465940.1436  -0.1576   0.0032      1.9120      27.5600
   95      1686.7222   1664465946.5140  -0.1480   0.0032      3.6220      27.6032
   96      1709.5047   1664465969.2966  -0.1600   0.0032      2.0700      28.0480
   97      1712.8114   1664465972.6032  -0.0856   0.0032      0.5480      28.3776
   98      1751.6053   1664466011.3972  -0.0584   0.0032      2.3980      28.8760
